City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,guatrache,-37.6678,-63.5302,22.84,25,27,7.94,AR,1697479326
83,maamba,-17.3667,27.15,24.07,72,98,0.66,ZM,1697479326
84,fisterra,42.9049,-9.2629,21.53,83,100,14.16,ES,1697479327
85,salinopolis,-0.6136,-47.3561,29.47,70,54,6.75,BR,1697479327
86,kruisfontein,-34.0033,24.7314,14.78,88,25,4.42,ZA,1697479327
87,al jawf,29.5,38.75,21.64,34,0,4.56,SA,1697479327
88,dudinka,69.4058,86.1778,-1.32,74,100,2.24,RU,1697479327
89,happy valley-goose bay,53.3168,-60.3315,6.17,61,75,8.75,CA,1697479328
90,garachico,28.7781,-17.7646,26.94,74,0,2.06,ES,1697479328
91,nemuro,43.3236,145.575,9.68,67,38,6.83,JP,1697479328
92,crescent city,41.756,-124.2018,16.09,99,100,6.17,US,1697479040
93,margaret river,-33.95,115.0667,16.62,43,23,1.61,AU,1697479329
94,gimcheon,36.1218,128.1198,10.62,71,0,2.06,KR,1697479329
95,diu,20.7141,70.9822,26.23,72,8,4.06,IN,1697479329
96,karratha,-20.7377,116.8463,28.12,25,0,3.87,AU,1697479329
97,fortuna,40.5982,-124.1573,18.29,91,100,2.24,US,1697479330
98,udachny,66.4167,112.4,-3.64,92,99,1.62,RU,1697479330
99,vila velha,-20.3297,-40.2925,28.97,81,20,6.69,BR,1697479223
100,lompoc,34.6391,-120.4579,22.08,85,20,3.09,US,1697479330
101,papao,-17.75,-149.55,26.82,83,100,5.81,PF,1697479330
102,holualoa,19.6228,-155.9522,23.77,84,74,1.23,US,1697479331
103,hermanus,-34.4187,19.2345,17.1,84,37,6.36,ZA,1697479331
104,new plymouth,-39.0667,174.0833,16.0,94,94,8.26,NZ,1697479078
105,whitehorse,60.7161,-135.0538,-0.57,100,100,1.54,CA,1697479322
106,callao,-12.0667,-77.15,20.16,77,100,3.09,PE,1697479331
107,sweetwater,25.7634,-80.3731,26.68,59,40,5.81,US,1697479159
108,pingliang,35.5392,106.6861,13.45,74,76,1.79,CN,1697479332
109,johi,26.6921,67.6133,28.12,51,28,2.58,PK,1697479332
110,vylkove,45.4021,29.586,9.69,51,2,4.7,UA,1697479332
111,tuzantla,19.2029,-100.5668,31.54,56,63,1.94,MX,1697479333
112,sao miguel do araguaia,-13.275,-50.1628,40.0,14,85,3.28,BR,1697479333
113,kipushi,-11.7667,27.2333,19.33,86,91,2.75,CD,1697479333
114,port elizabeth,-33.918,25.5701,18.16,89,40,3.6,ZA,1697479333
115,mohr,54.3528,9.7167,7.3,88,40,2.06,DE,1697479333
116,ribeira grande,38.5167,-28.7,23.22,68,20,4.12,PT,1697479334
117,harar,9.3094,42.1258,19.41,62,83,1.76,ET,1697479334
118,nadym,65.5333,72.5167,1.26,98,100,4.02,RU,1697479334
119,port alfred,-33.5906,26.891,16.77,89,92,0.45,ZA,1697479334
120,necochea,-38.5473,-58.7368,16.13,72,69,5.88,AR,1697479335
121,krasnovishersk,60.4078,57.082,10.86,91,100,3.25,RU,1697479335
122,igarka,67.4667,86.5833,-0.5,97,100,4.99,RU,1697479335
123,tokmak,47.2514,35.7058,7.8,72,85,6.86,UA,1697479335
124,kingston,17.997,-76.7936,31.8,75,20,4.12,JM,1697479168
125,ji'an,27.1172,114.9793,17.48,64,2,1.29,CN,1697479336
126,bamboo flat,11.7,92.7167,28.05,83,40,1.03,IN,1697479336
127,rabo de peixe,37.8,-25.5833,21.66,99,40,7.2,PT,1697479336
128,kismayo,-0.3582,42.5454,26.47,87,100,4.76,SO,1697479072
129,preobrazheniye,42.9019,133.9064,5.8,45,0,4.92,RU,1697479336
130,hawaiian paradise park,19.5933,-154.9731,25.5,90,14,2.01,US,1697479337
131,san antonio de pale,-1.4014,5.6325,25.86,80,92,5.77,GQ,1697479337
132,nogliki,51.8333,143.1667,9.08,84,100,3.13,RU,1697479337
133,alappuzha,9.49,76.3264,26.57,82,76,1.61,IN,1697479164
134,lebu,-37.6167,-73.65,12.41,68,0,9.32,CL,1697479294
135,colonia,50.9333,6.95,9.92,83,20,2.06,DE,1697479148
136,kerikeri,-35.2268,173.9474,14.39,94,53,2.86,NZ,1697479337
137,east london,-33.0153,27.9116,16.52,94,75,3.6,ZA,1697479288
138,tralee,52.2704,-9.7026,11.14,82,20,3.6,IE,1697479332
139,kirensk,57.7853,108.1119,5.57,95,100,3.58,RU,1697479338
140,phang nga,8.4509,98.5298,26.02,94,81,0.93,TH,1697479338
141,kailua-kona,19.6406,-155.9956,25.98,84,75,3.09,US,1697479074
142,lamu,-2.2717,40.902,27.12,89,91,3.77,KE,1697479338
143,atafu village,-8.5421,-172.5159,28.27,79,100,8.95,TK,1697479339
144,flying fish cove,-10.4217,105.6791,25.82,94,100,5.66,CX,1697479339
145,college,64.8569,-147.8028,1.71,85,75,3.6,US,1697479202
146,dongola,19.1667,30.4833,30.33,18,0,7.65,SD,1697479339
147,jinxiang,27.4327,120.6062,18.95,74,0,2.47,CN,1697479339
148,nantucket,41.2835,-70.0995,16.08,70,40,5.66,US,1697479052
149,chernyshevskiy,63.0128,112.4714,-1.08,97,100,2.27,RU,1697479340
150,ardesen,41.1911,40.9875,18.81,77,66,3.15,TR,1697479340
151,ouani,-12.1322,44.4258,25.78,83,62,3.21,KM,1697479341
152,muktagacha,24.7667,90.2333,22.63,88,0,2.1,BD,1697479341
153,hasaki,35.7333,140.8333,14.05,64,0,2.5,JP,1697479341
154,utrik,11.2278,169.8474,28.29,75,72,8.43,MH,1697479342
155,robit,12.0167,39.6333,20.75,46,41,1.15,ET,1697479342
156,hobyo,5.3505,48.5268,27.92,78,88,6.49,SO,1697479342
157,mouila,-1.8685,11.0559,24.57,91,94,1.28,GA,1697479342
158,cabo san lucas,22.8909,-109.9124,34.23,63,2,2.22,MX,1697479145
159,kodiak,57.79,-152.4072,6.8,87,100,1.96,US,1697479343
160,amahai,-3.3333,128.9167,25.12,89,94,1.68,ID,1697479343
161,bikenibeu village,1.3673,173.1241,28.98,70,20,1.54,KI,1697479343
162,bandarbeyla,9.4942,50.8122,27.08,83,38,3.8,SO,1697479343
163,kristiansund,63.1115,7.732,8.36,87,75,5.14,NO,1697479344
164,thames,-37.1333,175.5333,14.6,94,91,3.25,NZ,1697479344
165,port lincoln,-34.7333,135.8667,8.05,88,2,2.84,AU,1697479248
166,palikir - national government center,6.9248,158.1611,28.03,75,46,3.03,FM,1697479344
167,chernomorskoye,45.5039,32.6997,13.72,47,52,10.94,UA,1697479344
168,guerrero negro,27.9769,-114.0611,26.51,50,4,3.61,MX,1697479344
169,ostersund,63.1792,14.6357,3.25,81,40,5.66,SE,1697479345
170,yuzhno-kurilsk,44.0306,145.8556,10.76,75,86,4.57,RU,1697479345
171,lihue,21.9789,-159.3672,25.58,87,79,2.26,US,1697479345
172,nurota,40.5614,65.6886,12.77,30,0,2.29,UZ,1697479345
173,inhambane,-23.865,35.3833,20.0,93,75,3.58,MZ,1697479346
174,bacalar,18.6667,-88.3833,31.4,48,86,3.12,MX,1697479346
175,franceville,-1.6333,13.5836,24.25,88,40,1.22,GA,1697479346
176,custodia,-8.0875,-37.6431,33.56,17,32,6.36,BR,1697479346
177,nova sintra,14.8667,-24.7167,25.64,73,61,6.82,CV,1697479346
178,san patricio,28.017,-97.5169,22.94,35,0,6.8,US,1697479346
179,berezovyy,51.6667,135.7,1.83,99,100,2.58,RU,1697479347
180,hithadhoo,-0.6,73.0833,27.45,74,23,8.25,MV,1697479220
181,palmer,42.1584,-72.3287,15.78,68,75,5.66,US,1697479347
182,haiku-pauwela,20.9219,-156.3051,26.69,75,78,0.45,US,1697479347
183,nyurba,63.2842,118.3319,-2.2,90,100,4.02,RU,1697479347
184,vila do maio,15.1333,-23.2167,32.44,75,54,3.86,CV,1697479347
185,molde,62.7375,7.1591,6.91,93,75,5.66,NO,1697479348
186,polyarnyy,69.1989,33.4478,3.29,89,100,13.3,RU,1697479348
187,malakal,9.5334,31.6605,22.93,89,100,2.42,SS,1697479348
188,vadso,70.0744,29.7487,3.49,87,75,6.17,NO,1697479348
189,imbituba,-28.24,-48.6703,21.61,97,100,6.27,BR,1697479348
190,posse,-14.0931,-46.3694,35.42,13,7,5.68,BR,1697479349
191,sao paulo de olivenca,-3.3783,-68.8725,33.36,48,97,1.36,BR,1697479349
192,fada,9.5667,8.3,22.07,87,74,1.13,NG,1697479349
193,monte alegre,-2.0078,-54.0692,36.78,32,51,2.17,BR,1697479349
194,punta arenas,-53.15,-70.9167,12.06,50,75,12.35,CL,1697479349
195,tongchuan,35.0806,109.0897,15.55,60,40,1.92,CN,1697479350
196,elko,41.0002,-115.5012,17.31,29,7,0.89,US,1697479164
197,martan-chu,43.0637,45.5622,12.89,58,98,1.49,RU,1697479350
198,basoko,1.2391,23.616,23.98,82,100,0.38,CD,1697479350
199,deqen,29.9618,90.7188,5.51,41,91,1.7,CN,1697479350
200,paros,37.0833,25.15,22.39,80,12,5.82,GR,1697479351
201,piti village,13.4626,144.6933,27.16,89,80,3.26,GU,1697479351
202,prien,30.1819,-93.2738,19.99,49,75,7.2,US,1697479351
203,airuk,7.2772,168.8203,28.53,71,30,5.33,MH,1697479351
204,carutapera,-1.195,-46.02,30.74,59,50,5.27,BR,1697479351
205,lorengau,-2.0226,147.2712,27.33,76,100,2.08,PG,1697479352
206,nkhata bay,-11.6066,34.2907,27.98,61,64,3.0,MW,1697479352
207,sinabang,2.4803,96.3801,26.45,81,100,5.51,ID,1697479352
208,shingu,33.7333,135.9833,15.71,80,0,3.06,JP,1697479352
209,aver-o-mar,41.4078,-8.7812,23.31,73,20,8.75,PT,1697479352
210,puerto armuelles,8.2833,-82.8667,29.99,78,82,3.13,PA,1697479353
211,thunder bay,48.4001,-89.3168,7.99,66,75,2.57,CA,1697479287
212,rethymno,35.3647,24.4714,21.79,76,0,1.4,GR,1697479353
213,mount isa,-20.7333,139.5,22.87,20,3,10.29,AU,1697479353
214,beli,7.8587,10.9719,25.55,85,67,0.14,NG,1697479353
215,susuman,62.7833,148.1667,-19.19,89,49,0.98,RU,1697479354
216,avarua,-21.2078,-159.775,22.03,64,75,3.6,CK,1697479354
217,aketi,2.7388,23.7833,24.13,83,100,1.19,CD,1697479354
218,bafoulabe,13.8065,-10.8321,33.1,29,58,0.98,ML,1697479354
219,ngereklmadel,7.4883,134.4856,27.35,74,99,2.5,PW,1697479355
220,egilsstadir,65.2653,-14.3948,3.95,93,100,4.63,IS,1697479355
221,ta`u,-14.2336,-169.5144,26.66,78,48,9.12,AS,1697479355
222,constantia,44.1833,28.65,8.38,54,1,4.85,RO,1697479355
223,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,88,75,5.0,RU,1697479355
224,geraldton,-28.7667,114.6,16.23,39,11,3.6,AU,1697479356
225,vilyuchinsk,52.9306,158.4028,8.15,94,100,8.23,RU,1697479356
226,nar'yan-mar,67.6713,53.087,3.95,93,95,5.81,RU,1697479356
227,hadibu,12.65,54.0333,27.68,74,71,2.85,YE,1697479356
228,alofi,-19.0595,-169.9187,21.94,88,75,7.72,NU,1697479356
229,tashtagol,52.7657,87.8894,1.54,95,67,2.06,RU,1697479357
230,qamdo,31.1667,97.2333,1.82,52,87,2.0,CN,1697479357
231,vanimo,-2.6741,141.3028,25.1,91,95,1.65,PG,1697479357
232,vilyuysk,63.7553,121.6247,-2.12,52,100,5.36,RU,1697479357
233,minas de marcona,-15.2119,-75.1103,21.75,56,46,4.48,PE,1697479358
234,fort st. john,56.2499,-120.8529,4.94,93,75,2.06,CA,1697479343
235,codrington,-38.2667,141.9667,7.5,78,6,2.44,AU,1697479358
236,quellon,-43.1167,-73.6167,10.87,64,26,4.4,CL,1697479283
237,vernon,50.2581,-119.2691,14.05,87,100,1.54,CA,1697479219
238,remire-montjoly,4.9167,-52.2667,34.02,52,0,6.17,GF,1697479359
239,sabang,5.8933,95.3214,26.59,86,99,11.71,ID,1697479359
240,amursk,50.2261,136.8994,2.77,96,100,3.48,RU,1697479359
241,greymouth,-42.4667,171.2,11.02,94,100,6.25,NZ,1697479268
242,belokurikha,51.9959,84.9896,4.34,80,49,2.96,RU,1697479359
243,new norfolk,-42.7826,147.0587,4.72,95,8,1.48,AU,1697479359
244,kolonia,50.9333,6.95,9.92,86,0,1.54,DE,1697479360
245,ola,59.5833,151.2833,2.86,91,100,3.02,RU,1697479360
246,sitka,57.0531,-135.33,11.13,82,100,2.85,US,1697479360
247,tekeli,44.83,78.8239,5.35,49,52,3.75,KZ,1697479360
248,galle,6.0367,80.217,25.68,85,79,1.44,LK,1697479290
249,sitangkai,4.6628,119.3928,28.66,73,69,2.92,PH,1697479360
250,dondo,-19.6094,34.7431,23.73,92,98,3.79,MZ,1697479361
251,casilda,-33.0442,-61.1681,32.97,37,46,5.92,AR,1697479361
252,tazacorte,28.629,-17.9293,28.42,44,0,2.06,ES,1697479361
253,tual,-5.6667,132.75,26.81,83,79,6.47,ID,1697479361
254,victorica,-36.2151,-65.4359,23.7,18,0,8.24,AR,1697479362
255,big bend,-26.8167,31.9333,19.05,94,99,0.0,SZ,1697479362
256,campo verde,-20.4167,-54.0667,38.35,21,40,5.05,BR,1697479362
257,la'ie,21.6477,-157.9253,26.98,87,65,2.24,US,1697479362
258,olyokminsk,60.3736,120.4264,1.11,67,100,3.58,RU,1697479362
259,mayya,61.7333,130.2811,-8.38,63,76,2.91,RU,1697479362
260,afaahiti,-17.75,-149.2833,25.93,84,100,4.87,PF,1697479362
261,chateaudun,48.0833,1.3333,11.08,41,62,6.1,FR,1697479363
262,belmonte,-15.8631,-38.8828,27.03,58,15,3.97,BR,1697479334
263,yumbe,3.4651,31.2469,18.67,97,100,1.76,UG,1697479363
264,kamyanyets,52.4001,23.81,5.71,85,88,5.48,BY,1697479363
265,lewisburg,35.4492,-86.7889,14.39,66,100,4.63,US,1697479363
266,peace river,56.2501,-117.286,9.17,76,75,1.03,CA,1697479363
267,kapa'a,22.0752,-159.319,25.99,87,82,1.79,US,1697479364
268,aasiaat,68.7098,-52.8699,-9.03,96,93,1.39,GL,1697479364
269,dolinsk,47.35,142.8,3.41,86,18,2.84,RU,1697479364
270,borkum,53.5809,6.6915,11.97,60,100,4.41,DE,1697479364
271,masterton,-40.9597,175.6575,14.38,89,99,5.23,NZ,1697479248
272,lindisfarne,-42.8333,147.35,4.88,84,17,4.12,AU,1697479365
273,santa marta,11.2408,-74.199,30.03,81,40,1.03,CO,1697479126
274,majene,-3.5403,118.9707,26.11,79,12,5.91,ID,1697479365
275,port mathurin,-19.6833,63.4167,24.02,87,18,4.92,MU,1697479365
276,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,5.14,EC,1697479366
277,maintirano,-18.0667,44.0167,26.7,84,46,2.62,MG,1697479366
278,kiunga,-6.1219,141.2906,22.7,100,100,0.63,PG,1697479366
279,beinamar,8.6698,15.3813,24.29,79,61,1.18,TD,1697479366
280,touros,-5.1989,-35.4608,28.14,60,14,9.04,BR,1697479345
281,talcahuano,-36.7167,-73.1167,16.82,48,0,7.2,CL,1697479276
282,klaksvik,62.2266,-6.589,10.51,90,100,10.66,FO,1697479367
283,carupano,10.6678,-63.2585,32.1,60,13,5.69,VE,1697479367
284,johnstown,40.3267,-78.922,11.84,92,100,3.6,US,1697479162
285,aoulef,26.9667,1.0833,30.65,12,0,3.74,DZ,1697479367
286,ancud,-41.8697,-73.8203,11.99,60,6,2.9,CL,1697479367
287,jayapura,-2.5333,140.7,23.66,93,95,1.8,ID,1697479368
288,lata,40.1629,-8.3327,19.59,85,99,4.04,PT,1697479368
289,enewetak,11.3474,162.3373,28.33,77,47,6.3,MH,1697479368
290,pangai,-19.8,-174.35,23.06,73,20,5.66,TO,1697479368
291,williams lake,52.1415,-122.1445,13.92,67,100,6.69,CA,1697479368
292,senekal,-28.3197,27.6208,14.49,72,17,2.41,ZA,1697479369
293,oriximina,-1.7656,-55.8661,35.94,36,53,2.86,BR,1697479369
294,dalandzadgad,43.5708,104.425,9.3,22,100,6.91,MN,1697479369
295,mil'kovo,55.6078,37.7956,6.27,95,100,4.4,RU,1697479369
296,diapaga,12.0708,1.7889,26.01,65,94,1.07,BF,1697479369
297,longyearbyen,78.2186,15.6401,-3.09,74,40,6.17,SJ,1697479370
298,quinte west,44.1834,-77.5662,14.32,68,100,7.72,CA,1697479310
299,abepura,-2.6333,140.5833,23.45,88,20,1.54,ID,1697479370
300,hilo,19.7297,-155.09,29.04,87,0,1.34,US,1697479156
301,tateyama,34.9833,139.8667,20.03,74,0,2.92,JP,1697479312
302,severo-yeniseyskiy,60.3725,93.0408,0.88,90,96,4.02,RU,1697479370
303,coracora,-15.0333,-73.7833,18.33,46,60,5.42,PE,1697479370
304,ponta delgada,37.7333,-25.6667,22.33,78,40,7.2,PT,1697479371
305,sterling,39.0062,-77.4286,16.23,61,75,6.69,US,1697479371
306,chiredzi,-21.05,31.6667,20.33,91,100,2.77,ZW,1697479254
307,loukhi,66.0764,33.0381,3.45,94,100,4.35,RU,1697479371
308,tatarsk,55.219,75.9828,7.2,57,100,6.26,RU,1697479371
309,saipan,15.1355,145.701,28.33,76,34,5.98,MP,1697479372
310,tangalle,6.024,80.7911,25.21,88,72,2.54,LK,1697479372
311,shanwei,22.782,115.3475,23.82,73,100,7.15,CN,1697479372
312,gorgan,36.8387,54.4348,18.98,77,75,3.09,IR,1697479372
313,quelimane,-17.8786,36.8883,26.97,83,40,4.47,MZ,1697479373
314,khatra,22.9833,86.85,25.48,70,70,0.93,IN,1697479373
315,higuera de zaragoza,25.95,-109.2833,33.99,46,1,3.91,MX,1697479373
316,baykal'sk,51.5058,104.1469,5.27,80,100,1.56,RU,1697479373
317,chandia,23.65,80.7,22.11,74,50,2.22,IN,1697479373
318,nanlong,31.3533,106.0631,19.55,75,98,1.73,CN,1697479374
319,quimili,-27.6333,-62.4167,43.93,15,100,6.22,AR,1697479374
320,tauranga,-37.6861,176.1667,13.3,95,91,1.0,NZ,1697479374
321,prince rupert,54.3161,-130.3201,13.05,89,100,7.72,CA,1697479374
322,dhamtari,20.7072,81.5497,22.1,69,41,1.7,IN,1697479374
323,selfoss,63.9331,-20.9971,5.58,75,92,1.01,IS,1697479375
324,nizhnyaya tavda,57.6731,66.1725,10.04,89,88,3.31,RU,1697479375
325,santa ana,33.7456,-117.8678,32.59,63,20,2.06,US,1697479375
326,keflavik,64.0049,-22.5624,5.95,81,75,3.09,IS,1697479375
327,princesa isabel,-7.7367,-37.9933,32.96,18,33,5.13,BR,1697479375
328,carnarvon,-24.8667,113.6333,23.92,53,0,5.04,AU,1697479376
329,miquelon,47.0975,-56.3814,11.0,84,100,16.43,PM,1697479376
330,cabedelo,-6.9811,-34.8339,28.37,66,13,7.84,BR,1697479176
331,markovo,57.3206,107.0881,2.68,90,100,4.41,RU,1697479376
332,kavieng,-2.5744,150.7967,26.62,76,62,1.48,PG,1697479377
333,vredendal,-31.6683,18.5012,21.86,47,1,6.63,ZA,1697479377
334,asamankese,5.8601,-0.6635,24.2,92,86,2.97,GH,1697479377
335,nabire,-3.3667,135.4833,24.0,93,98,1.96,ID,1697479377
336,saint-philippe,-21.3585,55.7679,24.77,87,61,1.39,RE,1697479303
337,tsiombe,-25.3,45.4833,22.04,71,100,3.12,MG,1697479377
338,patacamaya,-17.2333,-67.9167,18.43,19,19,6.65,BO,1697479378
339,islamkot,24.6997,70.177,26.94,67,0,4.8,PK,1697479378
340,san pedro,14.35,121.0167,27.57,88,20,1.79,PH,1697479323
341,xianning,29.8833,114.2167,18.52,52,0,2.19,CN,1697479378
342,minab,27.1467,57.0801,29.16,63,8,1.57,IR,1697479378
343,mandalgovi,45.7625,106.2708,4.21,43,100,6.44,MN,1697479379
344,tamandare,-8.7597,-35.1047,27.15,63,64,5.9,BR,1697479379
345,paka,4.6374,103.4368,24.99,100,98,0.0,MY,1697479379
346,la breita,-4.2608,-80.8875,29.67,56,86,4.87,PE,1697479379
347,dalhart,36.0595,-102.5133,21.38,30,32,2.44,US,1697479379
348,lipovtsy,44.2014,131.7244,3.52,37,0,3.65,RU,1697479380
349,rockingham,42.9668,-71.0995,14.38,76,98,0.45,US,1697479380
350,araguaina,-7.1911,-48.2072,39.17,19,65,1.62,BR,1697479346
351,kill devil hills,36.0307,-75.676,17.77,56,0,5.66,US,1697479380
352,uturoa,-16.7333,-151.4333,25.13,80,99,6.19,PF,1697479380
353,tortoli,39.9256,9.6572,19.34,89,100,0.83,IT,1697479380
354,aswan,24.0934,32.907,29.61,18,0,4.12,EG,1697479380
355,praia,14.9215,-23.5087,32.3,48,0,7.2,CV,1697479381
356,ilhabela,-23.7781,-45.3581,24.19,90,29,1.51,BR,1697479109
357,luganville,-15.5333,167.1667,25.02,88,34,3.98,VU,1697479381
358,las veredas,23.1388,-109.7075,33.87,47,1,1.79,MX,1697479381
359,bossier city,32.516,-93.7321,18.1,47,20,5.66,US,1697479381
360,dongyang,29.2678,120.2253,14.4,78,0,1.4,CN,1697479382
361,otjiwarongo,-20.4637,16.6477,22.42,8,26,4.73,NA,1697479382
362,barbacoas,1.6715,-78.1398,29.9,70,95,2.28,CO,1697479382
363,general pico,-35.6566,-63.7568,26.16,22,26,8.59,AR,1697479382
364,mitsamiouli,-11.3847,43.2844,25.61,85,30,3.29,KM,1697479383
365,hirara,24.8,125.2833,24.92,64,100,4.12,JP,1697479383
